epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2647,2.13525,4.43386,1.80951,0.76718,0.47944,0.63132,0.40295,1.31368,2.59707,1.15894,0.00015876,0.00015876,0.00015876
2,21.3642,1.36642,1.55243,1.19752,0.72212,0.74315,0.77718,0.51997,1.15672,1.49493,1.09388,0.000320198,0.000320198,0.000320198
3,29.2612,1.26981,1.11928,1.14369,0.75299,0.78147,0.80308,0.51705,1.24223,1.15895,1.11588,0.000478377,0.000478377,0.000478377
4,37.0046,1.23868,0.94007,1.1339,0.80025,0.80254,0.86014,0.56645,1.21951,0.90326,1.11311,0.000570536,0.000570536,0.000570536
5,44.7148,1.22119,0.89019,1.13258,0.84693,0.87019,0.88014,0.54271,1.39163,0.93367,1.22326,0.000564715,0.000564715,0.000564715
6,52.4284,1.1831,0.82692,1.12162,0.85757,0.81831,0.88337,0.61873,1.13588,0.77792,1.10937,0.000558894,0.000558894,0.000558894
7,60.2617,1.13764,0.75667,1.11389,0.8362,0.89065,0.89716,0.63021,1.163,0.72252,1.12198,0.000553073,0.000553073,0.000553073
8,68.1629,1.19624,0.78348,1.14681,0.80679,0.8388,0.86337,0.61121,1.19042,0.82555,1.13835,0.000547252,0.000547252,0.000547252
9,75.9168,1.10263,0.70596,1.09396,0.83915,0.82863,0.86657,0.60923,1.11838,0.73017,1.11303,0.00054143,0.00054143,0.00054143
10,83.7461,1.1032,0.67981,1.10909,0.82332,0.8713,0.87882,0.60435,1.19717,0.76382,1.1112,0.000535609,0.000535609,0.000535609
11,91.599,1.10935,0.67045,1.09474,0.91578,0.9027,0.88874,0.5589,1.3218,0.73488,1.16863,0.000529788,0.000529788,0.000529788
12,99.5417,1.09994,0.65271,1.09611,0.91854,0.89429,0.92664,0.63434,1.09944,0.66408,1.10435,0.000523967,0.000523967,0.000523967
13,107.596,1.08377,0.65294,1.07655,0.91052,0.89412,0.91506,0.6312,1.17185,0.65686,1.10911,0.000518146,0.000518146,0.000518146
14,115.626,1.06655,0.64198,1.08352,0.91667,0.88528,0.91716,0.63813,1.13636,0.70394,1.12883,0.000512324,0.000512324,0.000512324
15,123.806,1.06787,0.62167,1.07756,0.9324,0.8532,0.93171,0.63381,1.11425,0.67561,1.11948,0.000506503,0.000506503,0.000506503
16,131.944,1.02673,0.59619,1.06184,0.89342,0.87376,0.93672,0.63155,1.13887,0.66756,1.13701,0.000500682,0.000500682,0.000500682
17,140.122,0.9989,0.57654,1.05789,0.89193,0.94001,0.94878,0.65399,1.10356,0.60992,1.11773,0.000494861,0.000494861,0.000494861
18,148.468,1.0227,0.57825,1.07042,0.92658,0.86788,0.93436,0.64342,1.07796,0.66857,1.09267,0.00048904,0.00048904,0.00048904
19,156.812,1.02405,0.57554,1.07037,0.94228,0.88153,0.91908,0.63557,1.10772,0.64939,1.12334,0.000483218,0.000483218,0.000483218
20,165.334,1.01304,0.57297,1.06412,0.91392,0.8856,0.9359,0.65757,1.11106,0.63713,1.10501,0.000477397,0.000477397,0.000477397
21,174.031,0.98728,0.56048,1.05482,0.82085,0.94744,0.92683,0.64127,1.16684,0.61187,1.15084,0.000471576,0.000471576,0.000471576
22,182.752,0.99778,0.56159,1.06244,0.9154,0.9239,0.9402,0.65451,1.13341,0.60048,1.13878,0.000465755,0.000465755,0.000465755
23,191.498,0.99429,0.55467,1.06117,0.93705,0.88329,0.93969,0.64905,1.12553,0.61654,1.12143,0.000459934,0.000459934,0.000459934
24,200.211,0.95617,0.52931,1.04981,0.84247,0.92179,0.91988,0.62059,1.22278,0.70462,1.20587,0.000454112,0.000454112,0.000454112
25,208.841,0.99706,0.53716,1.0605,0.9276,0.90859,0.95328,0.65821,1.12615,0.62045,1.13287,0.000448291,0.000448291,0.000448291
26,217.474,0.99834,0.5335,1.04783,0.91901,0.89653,0.94407,0.66503,1.08699,0.62074,1.10735,0.00044247,0.00044247,0.00044247
27,226.046,0.936,0.52151,1.04121,0.93523,0.93784,0.96182,0.69124,1.06941,0.58562,1.10199,0.000436649,0.000436649,0.000436649
28,234.603,0.94686,0.5146,1.03464,0.93109,0.95937,0.96512,0.69131,1.04935,0.59183,1.10732,0.000430828,0.000430828,0.000430828
29,243.138,0.93896,0.51354,1.04215,0.90688,0.95367,0.95972,0.67141,1.08159,0.60163,1.08873,0.000425006,0.000425006,0.000425006
30,251.631,0.90412,0.51186,1.03151,0.92105,0.95431,0.96828,0.69687,1.05574,0.59343,1.11173,0.000419185,0.000419185,0.000419185
31,260.308,0.92744,0.50271,1.0318,0.91264,0.97729,0.9699,0.68491,1.06546,0.58964,1.11877,0.000413364,0.000413364,0.000413364
32,268.902,0.92226,0.49329,1.03068,0.92625,0.9703,0.96271,0.68152,1.16966,0.60701,1.12545,0.000407543,0.000407543,0.000407543
33,277.519,0.924,0.48945,1.02129,0.92783,0.97382,0.9706,0.70602,1.07572,0.56648,1.08662,0.000401722,0.000401722,0.000401722
34,286.242,0.87576,0.47138,1.01577,0.93805,0.96494,0.96549,0.69799,1.07302,0.55315,1.09389,0.0003959,0.0003959,0.0003959
35,294.797,0.88559,0.47257,1.01475,0.92306,0.96097,0.96215,0.67841,1.12028,0.60722,1.12564,0.000390079,0.000390079,0.000390079
36,303.322,0.88608,0.47765,1.00981,0.9124,0.952,0.9586,0.69125,1.06398,0.62882,1.13267,0.000384258,0.000384258,0.000384258
37,311.844,0.87576,0.46858,1.00366,0.92475,0.96892,0.96913,0.70823,1.1222,0.5795,1.12222,0.000378437,0.000378437,0.000378437
38,320.53,0.88407,0.46697,1.01505,0.88296,0.98529,0.97362,0.68216,1.12673,0.59551,1.13063,0.000372616,0.000372616,0.000372616
39,329.064,0.84785,0.45487,0.99428,0.83452,0.9859,0.96318,0.68642,1.08495,0.59355,1.09982,0.000366794,0.000366794,0.000366794
40,337.622,0.8776,0.45999,1.00865,0.84881,0.97273,0.95426,0.67477,1.13936,0.6095,1.12134,0.000360973,0.000360973,0.000360973
41,346.159,0.84882,0.4517,0.99959,0.91965,0.95509,0.96177,0.70424,1.10228,0.59984,1.12875,0.000355152,0.000355152,0.000355152
42,354.764,0.83374,0.44265,0.99119,0.93919,0.89039,0.9628,0.67952,1.0694,0.61401,1.10693,0.000349331,0.000349331,0.000349331
43,363.307,0.83126,0.43886,0.99516,0.89953,0.96667,0.96308,0.70962,1.05554,0.58518,1.09122,0.00034351,0.00034351,0.00034351
44,371.993,0.83935,0.43894,0.98818,0.90373,0.97015,0.96707,0.67715,1.12746,0.59702,1.10874,0.000337688,0.000337688,0.000337688
45,380.616,0.82566,0.44191,0.98871,0.92881,0.96329,0.96562,0.69295,1.11403,0.59279,1.11697,0.000331867,0.000331867,0.000331867
46,389.232,0.81537,0.43287,0.9821,0.93445,0.96676,0.96482,0.69059,1.12398,0.58503,1.11923,0.000326046,0.000326046,0.000326046
47,397.837,0.81008,0.43436,0.9839,0.92013,0.95648,0.96466,0.68833,1.08334,0.58535,1.11775,0.000320225,0.000320225,0.000320225
48,406.395,0.82329,0.42935,0.98817,0.92549,0.94674,0.973,0.70119,1.13407,0.59256,1.12582,0.000314404,0.000314404,0.000314404
