epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.174,0.97358,1.71793,1.41758,0.54499,0.48268,0.50954,0.32429,1.30415,3.1811,2.05469,0.000368931,0.000368931,0.000368931
2,489.035,1.05098,1.50733,1.45369,0.46062,0.63393,0.566,0.41152,1.17172,1.95565,1.71935,0.000724626,0.000724626,0.000724626
3,736.379,1.00266,1.4388,1.42194,0.69367,0.62061,0.67351,0.48483,1.15293,1.39456,1.68481,0.00106566,0.00106566,0.00106566
4,983.203,0.95507,1.30679,1.38019,0.58063,0.71784,0.71154,0.5744,0.92001,1.35776,1.41265,0.00104501,0.00104501,0.00104501
5,1229.85,0.8916,1.16156,1.33087,0.67884,0.78102,0.76785,0.62572,0.8715,1.05143,1.36489,0.00102301,0.00102301,0.00102301
6,1476.67,0.85536,1.09641,1.30181,0.68801,0.82673,0.80532,0.649,0.90029,0.99213,1.38462,0.00100101,0.00100101,0.00100101
7,1723.33,0.84728,1.05867,1.29137,0.6743,0.82581,0.8142,0.67395,0.8741,0.95385,1.38699,0.000979013,0.000979013,0.000979013
8,1969.95,0.82346,0.99917,1.27222,0.70538,0.8126,0.80268,0.67063,0.83067,0.98569,1.31307,0.000957015,0.000957015,0.000957015
9,2216.19,0.80659,0.95484,1.25442,0.78842,0.84624,0.85943,0.71248,0.81843,0.83087,1.30965,0.000935018,0.000935018,0.000935018
10,2462.92,0.77998,0.92562,1.24441,0.76681,0.82621,0.84797,0.71176,0.83008,0.84189,1.30291,0.00091302,0.00091302,0.00091302
11,2709.1,0.78375,0.90992,1.24372,0.7661,0.79871,0.83711,0.7071,0.79583,0.87602,1.27959,0.000891022,0.000891022,0.000891022
12,2955.14,0.76062,0.8686,1.22845,0.78506,0.84982,0.8648,0.72665,0.79885,0.82109,1.27581,0.000869024,0.000869024,0.000869024
